"","ID","Sample","Treatment","Timepoint","TreatTime"
"1","corth2_S20_L001","cortH2","cort high",3,"cort high3"
"2","corth3_S12_L001","cortH3","cort high",3,"cort high3"
"3","corth4_S19_L001","cortH4","cort high",3,"cort high3"
"4","corthwo2_S11_L001","cortHWO2","cort high",6,"cort high6"
"5","corthwo3_S13_L001","cortHWO3","cort high",6,"cort high6"
"6","corthwo4_S4_L001","cortHWO4","cort high",6,"cort high6"
"7","cortl2_S14_L001","cortL2","cort low",3,"cort low3"
"8","cortl3_S19_L001","cortL3","cort low",3,"cort low3"
"9","cortl4_S13_L001","cortL4","cort low",3,"cort low3"
"10","cortlwo2_S18_L001","cortLWO2","cort low",6,"cort low6"
"11","cortlwo3_S6_L001","cortLWO3","cort low",6,"cort low6"
"12","cortlwo4_S2_L001","cortLWO4","cort low",6,"cort low6"
"13","Ctl1_S8_L001","ctl1","control",3,"control3"
"14","ctl3_S10_L001","ctl3","control",3,"control3"
"15","ctl4_S5_L001","ctl4","control",3,"control3"
"16","cvh1_S21_L001","cvH1","cort vehicle high",3,"cort vehicle high3"
"17","cvh2_S16_L001","cvH2","cort vehicle high",3,"cort vehicle high3"
"18","cvh3_S14_L001","cvH3","cort vehicle high",3,"cort vehicle high3"
"19","cvhwo1_S1_L001","cvHWO1","cort vehicle high",6,"cort vehicle high6"
"20","cvl1_S18_L001","cvL1","cort vehicle low",3,"cort vehicle low3"
"21","cvl2_S11_L001","cvL2","cort vehicle low",3,"cort vehicle low3"
"22","cvl4_S7_L001","cvL4","cort vehicle low",3,"cort vehicle low3"
"23","cvlwo2_S1_L001","cvLWO2","cort vehicle low",6,"cort vehicle low6"
"24","dexh2_S15_L001","dexH2","dex high",3,"dex high3"
"25","dexh3_S20_L001","dexH3","dex high",3,"dex high3"
"26","dexh4_S7_L001","dexH4","dex high",3,"dex high3"
"27","dexhwo2_S12_L001","dexHWO2","dex high",6,"dex high6"
"28","dexhwo3_S17_L001","dexHWO3","dex high",6,"dex high6"
"29","dexhwo4_S5_L001","dexHWO4","dex high",6,"dex high6"
"30","dexl1_S16_L001","dexL1","dex low",3,"dex low3"
"31","dexl2_S15_L001","dexL2","dex low",3,"dex low3"
"32","dexl3_S9_L001","dexL3","dex low",3,"dex low3"
"33","dexlwo1_S22_L001","dexLWO1","dex low",6,"dex low6"
"34","dexlwo2_S3_L001","dexLWO2","dex low",6,"dex low6"
"35","dexlwo3_S21_L001","dexLWO3","dex low",6,"dex low6"
"36","dvh1_S4_L001","dvH1","dex vehicle high",3,"dex vehicle high3"
"37","dvh2_S8_L001","dvH2","dex vehicle high",3,"dex vehicle high3"
"38","dvh4_S10_L001","dvH4","dex vehicle high",3,"dex vehicle high3"
"39","dvhwo4_S9_L001","dvHWO4","dex vehicle high",6,"dex vehicle high6"
"40","dvl1_S3_L001","dvL1","dex vehicle low",3,"dex vehicle low3"
"41","dvl2_S6_L001","dvL2","dex vehicle low",3,"dex vehicle low3"
"42","dvl3_S2_L001","dvL3","dex vehicle low",3,"dex vehicle low3"
"43","dvlwo3_S17_L001","dvLWO3","dex vehicle low",6,"dex vehicle low6"
